timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:10:31,20.06,3.48,1.7809,0.0623,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:11:01,20.06,3.48,1.7904,0.0642,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:11:31,20.06,3.48,1.7755,0.0612,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:12:01,20.06,3.48,1.7772,0.0616,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:12:31,20.06,3.48,1.7781,0.0617,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:13:01,20.06,3.48,1.7833,0.0628,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:13:31,20.06,3.48,1.7790,0.0619,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:14:01,20.06,3.48,1.7822,0.0626,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:14:31,20.06,3.48,1.7920,0.0645,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:15:01,20.12,3.48,1.7870,0.0635,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:15:31,20.06,3.48,1.7885,0.0638,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:16:01,20.12,3.48,1.7902,0.0642,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:16:31,20.06,3.48,1.7852,0.0632,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:17:01,20.06,3.48,1.7847,0.0631,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:17:31,20.12,3.48,1.7769,0.0615,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:18:01,20.12,3.48,1.7880,0.0637,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:18:31,20.06,3.48,1.7822,0.0626,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:19:01,20.06,3.48,1.7708,0.0603,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:19:31,20.12,3.48,1.8058,0.0673,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:20:01,20.12,3.48,1.7808,0.0623,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:20:31,20.06,3.48,1.7901,0.0641,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:21:01,20.06,3.48,1.7778,0.0617,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:21:31,20.12,3.48,1.7718,0.0605,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:22:01,20.12,3.48,1.7916,0.0644,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:22:31,20.12,3.48,1.7854,0.0632,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:23:01,20.12,3.48,1.7942,0.0650,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:23:31,20.06,3.48,1.7899,0.0641,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:24:01,20.06,3.48,1.7673,0.0596,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:24:31,20.06,3.48,1.8027,0.0667,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:25:01,20.12,3.48,1.7892,0.0640,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:25:31,20.06,3.48,1.7864,0.0634,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:26:01,20.12,3.48,1.7932,0.0648,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:26:31,20.12,3.48,1.8009,0.0663,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:27:01,20.12,3.48,1.8093,0.0680,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:27:31,20.12,3.48,1.7900,0.0641,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:28:01,20.06,3.48,1.8086,0.0678,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:28:31,20.06,3.48,1.7986,0.0658,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:29:01,20.06,3.48,1.7995,0.0660,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:29:31,20.12,3.48,1.7868,0.0635,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:30:01,20.12,3.48,1.8165,0.0694,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:30:31,20.12,3.48,1.8087,0.0679,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:31:01,20.12,3.48,1.8142,0.0690,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:31:31,20.12,3.48,1.7973,0.0656,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:32:01,20.12,3.48,1.7911,0.0643,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:32:31,20.12,3.48,1.8153,0.0692,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:33:01,20.12,3.48,1.7973,0.0656,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:33:31,20.19,3.48,1.8038,0.0669,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:34:01,20.12,3.48,1.8028,0.0667,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:34:31,20.12,3.48,1.8124,0.0686,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:35:01,20.06,3.48,1.8044,0.0670,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:35:31,20.12,3.48,1.8161,0.0693,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:36:01,20.12,3.48,1.8042,0.0670,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:36:31,20.06,3.48,1.8135,0.0688,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:37:01,20.12,3.48,1.8119,0.0685,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:37:31,20.06,3.48,1.8304,0.0722,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:38:01,20.12,3.48,1.8128,0.0687,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:38:31,20.12,3.48,1.8164,0.0694,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:39:01,20.12,3.48,1.8234,0.0708,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:39:31,20.06,3.48,1.8225,0.0706,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:40:01,20.06,3.48,1.8076,0.0676,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:40:31,20.12,3.48,1.8089,0.0679,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:41:01,20.06,3.48,1.8055,0.0672,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:41:31,20.06,3.48,1.8131,0.0687,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:42:01,20.06,3.48,1.8281,0.0717,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:42:31,20.06,3.48,1.8111,0.0683,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:43:01,20.12,3.48,1.8278,0.0717,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:43:31,20.06,3.48,1.8172,0.0696,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:44:01,20.12,3.48,1.8089,0.0679,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:44:31,20.12,3.48,1.8206,0.0702,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:45:01,20.06,3.48,1.8325,0.0726,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:45:31,20.06,3.48,1.8504,0.0762,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:46:01,20.06,3.48,1.8262,0.0714,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
2026-04-09 00:46:31,20.06,3.48,1.8090,0.0679,5.00,0.50
timestamp,temp,ph,co2_raw,co2,voltaje,corriente
